Year,Month,Month-Year Format,Location,Avg. Stringency Index,New Deaths Million(No Nulls),New Deaths(No Nulls),Key,Fortnight
2020,1,Jan-2020-B,United States,0,0,0,1B2020,B
2020,1,Jan-2020-B,Italy,19.44,0,0,1B2020,B
2020,1,Jan-2020-B,India,10.19,0,0,1B2020,B
2020,2,Feb-2020-B,United States,5.56,0.003,1,2B2020,B
2020,2,Feb-2020-A,United States,5.162857143,0,0,2A2020,A
2020,2,Feb-2020-B,Italy,44.722,0.481,29,2B2020,B
2020,2,Feb-2020-A,Italy,19.44,0,0,2A2020,A
2020,2,Feb-2020-B,India,10.19,0,0,2B2020,B
2020,2,Feb-2020-A,India,10.19,0,0,2A2020,A
2020,3,Mar-2020-B,United States,66.914117647,16.049,5312,3B2020,B
2020,3,Mar-2020-A,United States,20.105,0.171,57,3A2020,A
2020,3,Mar-2020-B,Italy,89.764117647,181.716,10987,3B2020,B
2020,3,Mar-2020-A,Italy,77.152857143,23.354,1412,3A2020,A
2020,3,Mar-2020-B,India,80.31,0.024,33,3B2020,B
2020,3,Mar-2020-A,India,23.214285714,0.002,2,3A2020,A
2020,4,Apr-2020-B,United States,72.69,103.051,34110,4B2020,B
2020,4,Apr-2020-A,United States,72.69,80.821,26752,4A2020,A
2020,4,Apr-2020-B,Italy,93.52,114.123,6900,4B2020,B
2020,4,Apr-2020-A,Italy,91.536428571,142.882,8639,4A2020,A
2020,4,Apr-2020-B,India,97.45625,0.552,761,4B2020,B
2020,4,Apr-2020-A,India,100,0.258,358,4A2020,A
2020,5,May-2020-B,United States,72.69,56.011,18540,5B2020,B
2020,5,May-2020-A,United States,72.69,69.668,23060,5A2020,A
2020,5,May-2020-B,Italy,64.162352941,33.856,2047,5B2020,B
2020,5,May-2020-A,Italy,69.508571429,56.251,3401,5A2020,A
2020,5,May-2020-B,India,79.658823529,2.002,2759,5B2020,B
2020,5,May-2020-A,India,85.017142857,1.083,1495,5A2020,A
2020,6,Jun-2020-B,United States,68.98,27.08,8963,6B2020,B
2020,6,Jun-2020-A,United States,72.69,32.625,10799,6A2020,A
2020,6,Jun-2020-B,Italy,55.56,6.977,422,6B2020,B
2020,6,Jun-2020-A,Italy,48.013571429,15.382,930,6A2020,A
